,Item Name,price
0,Sponge Gourd,47.28455773842963
1,Baby corn cleaned,139.85775998030152
2,Baby corn,30.90001926379434
3,Chilakarive green,31.7117782551574
4,Chakota greens,47.14013950824893
5,Eggs,6.102500798755219
6,Arive greens,45.10442986858662
7,knol-khol,40.351987799268684
8,Chikadi kai,60.28644377691404
9,Garlic cleaned,206.26856814622548
10,Garlic,130.9891116405995
11,Ginger,59.79804095024549
12,Ground nut Local,95.71754410191473
13,Double Beans,103.59033565580907
14,Double Beans seeds,197.4099659604678
15,Drumstik,103.75201039500936
16,Cauliflower per Kg,54.55485893624235
17,Cauliflower(M),36.217369081350164
18,Mushroom Button,282.65027006407206
19,Grapes Dry 250gm,121.25944047790954
20,Grapes Red globe,468.08333891797037
21,Lime Local,116.88832884011937
22,Little gourd,31.866255007907938
23,Ladys finger,58.398812241685334
24,Herali kai,82.57031837793332
25,Grapes T.S.,121.77731847281103
26,Avarekai (Field Beans ),61.32292276710693
27,Banana cooking R.Banana,61.28744901937396
28,Jukani,161.41464793270785
29,Sham gadde,69.76375216307731
30,Snake Gourd(S),32.38667918261604
31,Snake Gourd,40.26273953937596
32,Raddish Red,58.14377958987065
33,Raddish,34.16918273345296
34,Sweet Potato(Genasu),45.32240614180577
35,Potato(B),30.01234940941282
36,Potato(M),37.20807800744248
37,Pumpkin Japan,24.17378735433224
38,Pumpkin Red,19.176439624539587
39,Pumpkin Ash,21.423034354462917
40,Orange malt,68.3763391504705
41,Grapes Blore blue,55.46213738650334
42,Guava Allahabad(Red),89.74326749389348
43,Guava,67.18335976559776
44,Chicco(Sapota),51.62077401277802
45,Custerd Apple,50.154402467113954
46,Chicco(Sapota) rapined,58.148950553672385
47,Banana Rasabale,59.113407495397006
48,Banana Nendra,72.6600442296268
49,Banana chandra,74.9449157819985
50,Banana Yellaki,74.81159433914105
51,Banana pachabale,31.322035856180428
52,Apple Green smith,323.73679676912764
53,Apple Fuji chaina,268.7314538910264
54,Apple Newzeland,276.6090356025294
55,Apple Washington,287.1160128867366
56,Apple Economy,147.5302995051628
57,Apple Delicious,172.23469807235793
58,Palak Greens,50.63863404796092
59,Menthya Greens,78.9328889377252
60,Mint Leaves,53.88669709387417
61,G.nut oil Rice Bron 1 lt,128.64787605176778
62,G.nut oil Premium1 lt,151.60939876457113
63,Ground nut oil 1 lt,146.69119295715183
64,G.oil Net rich 500 ml,72.292333641119
65,Fruit Juice Tailand,19.80020915578368
66,Tender Coconut(S),23.92590030478473
67,Pista,165.14646431742608
68,Thinda,68.69389101214634
69,Tamarind seedless,181.1132755554106
70,Straw Berry,133.76095218022365
71,Litchi Local,307.13694706954396
72,Kiwi fruit,482.33628509218704
73,Grapes Krishna sharad,137.18631819500396
74,Grapes Flame,97.6577771641169
75,Grapes Sonika,127.28954782099143
76,Grapes Sharad,128.82393125145256
77,Grapes Dilkush,78.97883965071651
78,GrapesAnabi shahi,26.22539985304589
79,Hesaru kalu,130.96353657281648
80,Molake kalu,106.28028044206128
81,Greens Sabbakki,71.332147144271
82,Parvala,93.27579179645443
83,Spring Onion(Cleaned),80.42499801523691
84,Spring Onion,77.7165036097829
85,Chocolates Drink box,49.55848164034085
86,Fanda,41.2851000514811
87,Jam 100 gm,24.769624689834078
88,Jam 200 gm,41.26225061765867
89,Jam 1/2 kg,90.79888129819193
90,Jam 1 kg,123.89721192596339
91,Coconut oil 500 ml,117.14139619149927
92,Stevia powder,99.08586952323739
93,Pepper,115.59712700804558
94,Sungold oil 5 lt packet,660.7039923041837
95,Sun safal Tin 15 lt,782.7257902631015
96,Safal deep 500 ml,61.72761793551221
97,Ground nut oil 5 lt,932.1501403285789
98,Sungold oil 5 lt,707.9759443400649
99,Rice Bran 5 lt,662.9405158614012
100,Tamarind Paste 150 gm,57.302616224787435
101,Indian red globe,198.1255836752084
102,Peas seeds,282.9811417678495
103,Anjura/Fig,107.17426125098487
104,Butter fruit,128.35841272369157
105,Bore fruit,33.7088453696333
106,S.mellon Local (Luck),55.03370281339053
107,Chilles small cleaned (C.B.P),92.28381063591652
108,Times Rose berry,202.20934499481507
109,Chikkadikai cleaned,70.22639539681529
110,Orange juice,23.121221720951535
111,Thiland Jelly,33.03091411825426
112,Thiland Juice,19.820225753156976
113,Pineapple juice,109.02008540342668
114,Mosambi,84.82575430452992
115,S.mellon namdhari,32.044311962779744
116,Watermellon kiran,27.742892704853237
117,Watermellon,23.220544198974018
118,Tamarind sweet 500gm,170.3175771022521
119,Rose apple,225.05925343302488
120,Plum Australia,493.58458882230553
121,Pineapple,60.033114393037565
122,Papaya sola,55.28874864335326
123,Papaya Red lady,33.50870634444574
124,Papaya Taiwan,32.0662002784484
125,Papaya nati,21.201241555062833
126,Pomegranate A.raktha,141.63161517349909
127,Pomegranate Bhagav,208.49385190289857
128,Dhantu greens,50.98364855914362
129,Curry leave,78.92562511202489
130,Corriander Leave,58.51966659188235
131,Kakadi,72.69771529044188
132,Pickles mixed veg,82.59500868633678
133,mango Pickles,99.08766495683258
134,Lime Pickles,107.35519658069309
135,Pickles,90.83239880412461
136,Rice Bran 15 lt Tin,1317.7911517328907
137,G. nut sungold 1 lt,138.8445681900435
138,G. nut Golden oil 1 lt,182.91033452852798
139,G. nut oil safal deep1 lt,121.06898325679302
140,Apple juice,109.02749349305986
141,Litchi Juice,108.9986177835009
142,Parsley,257.7743743725702
143,Leeks,207.30162772660577
144,Selari,171.85056316787797
145,Chikkadikai Round,51.45232796105934
146,Mineral water 1 lt,24.77082944903159
147,Net rich 5 lt oil,487.20591040086464
